Aaron Peirsol,M,191.00,91.36
Abbas Qali,M,178.00,77
Adam Peaty,M,188.00,96.36
Adam Telegdy,M,194.00,77.00
Africa Zamorano Sanz,F,170.00,58.00
Ahmed Akram,M,187.96,80.00
Ahmed Gebrel,M,180.34,73.18
Ahmed Mathlouthi,M,190.50,90.00
Aimee Willmott,F,172.00,66
Ajna Kesely,F,162.56,54.09
Ajna Kesley,F,162.56,54.09
Albert Subirats,M,190.00,85
Aleksandr Krasnykh,M,187.96,80.00
Aleksandr Sadovnikov,M,193.00,85.00
Alessia Polieri,F,163,55
Alex Sobers,M,187.96,83.18
Alexandra Wenk,F,180.00,63.00
Alexandre Haldemann,M,185.42,81.36
Alexei Sancov,M,187.96,85.00
Alexus Laird,F,172.00,61.00
Alia Atkinson,F,170.00,65.00
Alice Mizzau,F,180.34,65.00
Alicia Tchorz,F,176.00,68.00
Alicja Tchorz,F,176.00,68.00
Allan Gutierrez,M,178.00,79.00
Alona Ribakova,F,176,63
Amaury Leveaux,M,202.00,88.18
Amina Kajtaz,F,173.00,62.00
Amini Tuitavake Fonua,M,183.00,79.00
Amit Ivry,F,170.00,65
Anastasia Bogdanovski,F,175.26,57.27
Anastasia Fesikova,F,182.00,71.00
Anastasiia Fesikova,F,182.00,71.00
Andrea Cedron,F,170.18,62.27
Andrea D'Arrigo,M,193.04,85.00
Andrea Toniato,M,182.00,82.00
Andrei Shabasov,M,180.00,73.00
Andreina Pinto,F,178.00,68.18
Andrew Willis,M,188.00,87
Andrius Sidlauskas,M,187.00,77.00
Anja Klinar,F,170.18,62.27
Anna Ntountounaki,F,177,66.00
Anna Sztankovics,F,177,63
Annika Bruhn,F,182.88,69.09
Anthonny Sitraka Ralefy,M,182.00,79.00
Anton Chupkov,M,188,71
Anton Ipsen,M,185.42,74.09
Anton Mckee,M,183.00,84.00
Anze Tavcar,M,185.42,79.09
Apostolos Christou,M,198.00,88.00
Arianna Castiglioni,F,167.00,55.00
Arina Openysheva,F,161.00,48.00
Arya Nasimi Shad,M,178.00,67
Ashton Baumann,M,191,74.00
Audrey Lacroix,F,163,54.00
Azad Albarzi,M,205.00,110.00
Barbora Seemanova,F,175.26,55.91
Basten Caerts,M,185,85
Belinda Hocking,F,167.00,57.00
Bence Pulai,M,193,89
Benjamin Schulte,M,193.00,83.00
Beryl Gastaldello,F,176.00,66.00
Boglarka Kapas,F,168.00,52.00
Boris Kirillov,M,181.00,75.00
Bradlee Ashby,M,200.00,92
Brandon Schuster,M,187.96,75.00
Brianna Throssell,F,175,61
Brittany Maclean,F,173.00,70.00
Bronte Barratt,F,170.18,59.09
Caba Siladji,M,184.00,75.00
Cam Kurle,M,186.00,66.00
Cameron van der Burgh,M,185.00,85.00
Camilla Hattersley,F,174.00,59.09
Camille Cheng,F,177.80,
Camille Lacourt,M,200.00,85.00
Cammile Adams,F,174.00,65
